Line#,Date,"Solar Radiation (S-LIB 10455351:10444880-1), W/m^2, Pyranometer 1","Temperature (S-TMB 10455351:10138775-1), *C","Current (91-U30-CVIA 10455351:10417917-2), mA","Voltage (91-U30-CVIA 10455351:10417917-1), V","Battery (U30 BATTERY 10455351:10455351-B), V"
383,06/12/14 18:12:00,37,,0.000,-0.199,4.43
384,06/12/14 18:13:00,34,,0.000,-0.199,4.43
385,06/12/14 18:14:00,33,,0.000,-0.199,4.43
386,06/12/14 18:15:00,31,,0.000,-0.199,4.44
387,06/12/14 18:16:00,29,,0.000,-0.199,4.44
388,06/12/14 18:17:00,28,,0.000,-0.199,4.44
389,06/12/14 18:18:00,27,,0.000,-0.199,4.44
390,06/12/14 18:19:00,27,,0.000,-0.199,4.44
391,06/12/14 18:20:00,26,,0.000,-0.199,4.44
392,06/12/14 18:21:00,26,,0.000,-0.199,4.44
393,06/12/14 18:22:00,26,,0.000,-0.199,4.44
394,06/12/14 18:23:00,26,,0.000,-0.199,4.44
395,06/12/14 18:24:00,27,,0.000,-0.199,4.44
396,06/12/14 18:25:00,27,,0.000,-0.199,4.44
397,06/12/14 18:26:00,28,,0.000,-0.199,4.45
398,06/12/14 18:27:00,29,,0.000,-0.199,4.45
399,06/12/14 18:28:00,29,,0.000,-0.199,4.45
400,06/12/14 18:29:00,32,,0.000,-0.199,4.45
401,06/12/14 18:30:00,33,,0.000,-0.199,4.46
402,06/12/14 18:31:00,34,,0.000,-0.199,4.46
403,06/12/14 18:32:00,37,,0.000,-0.199,4.46
404,06/12/14 18:33:00,39,,0.000,-0.199,4.47
405,06/12/14 18:34:00,42,,0.000,-0.199,4.47
406,06/12/14 18:35:00,46,,0.000,-0.199,4.48
407,06/12/14 18:36:00,49,,0.000,-0.199,4.48
408,06/12/14 18:37:00,54,,0.000,-0.199,4.49
409,06/12/14 18:38:00,63,,0.000,-0.199,4.50
410,06/12/14 18:39:00,69,,0.000,-0.199,4.50
411,06/12/14 18:40:00,91,,0.000,-0.199,4.51
412,06/12/14 18:41:00,136,,0.000,-0.199,4.51
413,06/12/14 18:42:00,124,,0.000,-0.199,4.51
414,06/12/14 18:43:00,214,,0.000,-0.199,4.51
415,06/12/14 18:44:00,204,,0.000,-0.199,4.51
416,06/12/14 18:45:00,133,,0.000,-0.199,4.51
417,06/12/14 18:46:00,151,,0.000,-0.199,4.51
418,06/12/14 18:47:00,198,,0.000,-0.199,4.51
419,06/12/14 18:48:00,162,,0.000,-0.199,4.51
420,06/12/14 18:49:00,314,,0.000,-0.199,4.51
421,06/12/14 18:50:00,159,,0.000,-0.199,4.52
422,06/12/14 18:51:00,158,,0.000,-0.199,4.52
423,06/12/14 18:52:00,163,,0.000,-0.199,4.52
424,06/12/14 18:53:00,169,,0.000,-0.199,4.53
425,06/12/14 18:54:00,183,,0.000,-0.199,4.53
426,06/12/14 18:55:00,229,,0.000,-0.199,4.53
427,06/12/14 18:56:00,397,,0.000,-0.199,4.53
428,06/12/14 18:57:00,401,,0.000,-0.199,4.53
429,06/12/14 18:58:00,433,,0.000,-0.199,4.53
430,06/12/14 18:59:00,446,,0.000,-0.199,4.53
431,06/12/14 19:00:00,452,,0.000,-0.199,4.53
